AID	CLUSTER2	GSWGT1
90575288	1.23	4856.95
90575307	1.26	3244.2
90575309	1.26	2954.16
90575318	1.25	2621.19
90575330	1.27	4045.93
90575333	1.27	2900.7
90575354	1.22	4444.63
90575378	1.3	4065.54
90575390	1.28	2296.43
90575465	1.24	3115.32
90575473	1.3	4065.54
90575521	1.21	4850.47
90575623	1.21	1510.93
90575834	1.27	2135.14
90575836	1.27	2219.94
90575871	1.3	3271.67
90575873	1.3	897.68
90575919	1.25	2621.19
90575931	1.27	2219.94
90575936	1.27	2717.84
90575940	1.29	1082.2
90575942	1.29	721.63
90575943	1.29	798.43
90575944	1.29	721.63
90575946	1.29	1096.11
90575948	1.29	1223.43
90575950	1.22	4444.63
90575966	1.24	4449.51
90575975	1.3	4065.38
90575978	1.3	3412.78
90575982	1.23	2306.99
90575991	1.28	1042.39
90575994	1.28	1444.86
90576026	1.71	3706.65
90576057	1.72	4528.68
90576104	1.76	3661.08
90576117	1.75	2628.77
90576119	1.75	3474.47
90576142	1.79	1562.55
90576148	1.79	2059.82
90576245	1.79	1641.09
90576248	1.79	1962.69
90576285	1.73	3454.4
90576320	1.71	2177.18
90576336	1.77	2952.61
90576357	1.72	3315.23
90576412	1.75	3685.29
90576445	1.79	1666.94
90576481	1.73	3057.21
90576485	1.73	7072.93
90576506	1.76	3026.4
90576522	1.71	2177.18
90576531	1.77	3495.83
90576552	1.72	4673.48
90576561	1.74	3336.28
90576619	1.75	2628.77
90576633	1.77	2862.75
90576687	1.73	3016.92
90576754	1.72	709.75
90576758	1.72	3450.7
90576759	1.72	4311.01
90576762	1.74	2667.17
90576811	1.75	3685.29
90576837	1.77	3131.25
90576844	1.79	1962.69
90576919	1.75	3053.9
90576925	1.71	2105.18
90576928	1.71	2810.43
90576941	1.79	1432.42
90576942	1.79	1641.09
90576948	1.79	1432.42
90576964	1.74	2667.17
90576987	1.73	4057.09
90577063	1.94	3879.27
90577065	1.94	4713.89
90577068	1.94	3277.73
90577114	1.95	4746.04
90577119	1.95	7354.08
90577161	1.94	3879.27
90577167	1.94	5471.91
90577224	1.91	1294.14
90577225	1.91	1387.53
90577227	1.91	770.96
90577229	1.91	941.36
90577255	1.92	2437.22
90577256	1.92	3172.27
90577259	1.92	3018.85
90577260	1.94	4078.9
90577267	1.94	4081.44
90577322	1.91	1294.14
90577326	1.91	941.36
90577327	1.91	1387.53
90577411	1.95	4763.7
90577516	1.95	4578.81
90577618	1.95	3113.22
90577712	1.95	4173.83
90577782	1.93	3623.21
90577817	1.95	4746.04
90577851	1.92	3333.18
90577852	1.92	2824.45
90577917	1.95	4665.58
90577920	1.91	1514.77
90577924	1.91	770.96
90577928	1.91	2260.99
90577929	1.91	498.23
90577964	1.94	3879.27
90578004	1.56	1044.11
90578006	1.56	1044.11
90578025	1.51	4556.04
90578044	1.59	3679.86
90578076	1.6	13188.52
90578105	1.56	2504.19
90578112	1.55	1024.64
90578113	1.55	964.34
90578198	1.58	2991.85
90578203	1.56	3588.63
90578217	1.55	3525.68
90578260	1.54	2025
90578288	1.53	2967.08
90578302	1.56	3588.63
90578304	1.56	1110.28
90578310	1.55	4245.5
90578363	1.54	2075.53
90578380	1.53	2967.08
90578403	1.56	940.3
90578404	1.56	3556.17
90578413	1.55	2798.76
90578461	1.54	2523.94
90578487	1.53	1045.89
90578496	1.58	2827.77
90578500	1.56	2989.8
90578505	1.56	1110.28
90578576	1.6	10641.43
90578587	1.53	791.56
90578618	1.55	3052.57
90578620	1.51	5497.06
90578661	1.54	2610.29
90578787	1.53	3749.33
90578805	1.56	3684.96
90578806	1.56	1044.11
90578813	1.55	3306.44
90578846	1.59	4438.38
90578873	1.6	13034.79
90578880	1.53	2848.72
90578901	1.56	767.85
90578912	1.55	3094.08
90578923	1.51	578.06
90578927	1.51	5497.06
90578981	1.53	3505.3
90578985	1.53	1061.02
90578986	1.53	729.53
90578988	1.53	729.53
90578999	1.58	2991.85
90579230	1.07	4476.86
90579233	1.07	3094.76
90579270	1.1	5382.71
90579271	1.1	6830.8
90579272	1.1	6830.8
90579296	1.08	3035.6
90579944	1.09	2442.56
90579957	1.02	8842.56
90579959	1.02	8033.48
90579960	1.04	2091.1
90579965	1.04	2652.3
90579966	1.04	1989.5
90579967	1.04	1993.86
90579973	1.1	8164.99
90579978	1.1	5382.71
90579985	1.03	4314.22
90579990	1.08	2139.87
90579992	1.08	3761.75
90579993	1.08	2375.17
90579997	1.08	2380.37
