AID	CLUSTER2	GSWGT3_2	GSWGT3
90716976	2.8	650.75	678.03
90716978	2.8	595.08	636.5
90716979	2.8	650.75	678.03
90716990	2.78	3707.81	3990.99
90716994	2.78	4365.7	4589.49
90717150	2.92	8297.56	8774.52
90717158	2.92	8297.56	8774.52
90717167	2.94	5853.32	6107.89
90717362	2.94	6556.05	6932.91
90718024	2.51	7205.26	 
90718081	2.53	924.1	1001.25
90718089	2.53	979.61	1097.01
90718113	2.55	4416.8	4771.86
90718115	2.55	4925.73	5268.59
90718147	2.59	6578.95	7036.89
90718178	2.6	9560.85	10418.09
90718183	2.53	1104.89	1203.41
90718207	2.56	3155.08	3418.48
90718222	2.51	7888	8341.41
90718225	2.51	7888	8341.41
90718268	2.54	3374.33	3675.22
90718273	2.6	6987.85	7549.6
90718280	2.53	1452.02	1526.45
90718303	2.56	1739.14	1828.29
90718305	2.56	1382.3	1505.56
90718306	2.56	1159.33	1256.12
90718311	2.55	1228.47	1375.7
90718394	2.58	4207.48	 
90718398	2.58	7696.15	8386.2
90718940	2.59	7765.04	8461.26
90718981	2.53	5163.51	5623.95
90718989	2.53	5163.51	5623.95
90719275	2.1	12428.88	13428.04
90719930	2.07	1758.03	1904.79
90719934	2.07	1846.18	2067.43
90719937	2.07	2792.14	2935.27
90719938	2.07	2788.18	 
90719939	2.07	1758.03	 
90719972	2.1	6976.12	7461.7
91316152	4.72	4561.4	4878.9
91374970	4.7	2886.23	3118.25
91374975	4.7	3490.07	3802.99
91374977	4.7	3139.53	3320
91500014	1.45	5002.79	5514.19
91500119	1.45	5848.69	6317.45
91500186	1.43	1280.82	 
91500226	1.41	2349.38	 
91500238	1.47	5836.71	 
91500373	1.5	8054.35	9192.52
91500411	1.45	583.88	628.47
91500833	1.47	4634.22	5005.63
91500977	1.5	7095.43	7404.01
91501350	1.32	9830.35	10593.94
91504088	1.63	7642.33	8248.36
91504104	1.66	6980.19	7827.58
91504224	1.61	6717.41	7239.2
91504341	1.69	4118.22	4539.2
91504485	1.63	6637.12	6925.77
91504629	1.61	11992.44	 
91504686	1.63	7494.12	8260.2
91504702	1.66	654.69	704.69
91504729	1.61	6942.2	7244.12
91504929	1.61	7792.03	8893.13
91506146	1.79	2105.56	2252.12
91506147	1.79	2083.79	2296.81
91506304	1.76	3325.68	 
91506305	1.76	4091.55	4409.37
91506330	1.77	3937.23	4108.47
91506392	1.78	4707.46	5059
91506443	1.79	2283.7	 
91506487	1.73	3978.68	4151.72
91506727	1.71	2934.5	 
91506790	1.78	610.35	672.89
91506894	1.78	6691.63	 
91506902	1.76	3254.3	3586.97
91506935	1.77	4161.65	4587.08
91506944	1.79	2132.98	2336.18
91506946	1.79	2285	 
91506955	1.72	4690.46	 
91506993	1.78	525.08	588.82
91507010	1.95	10945.44	 
91507116	1.95	6932.5	7592.91
91507316	1.95	6259.03	6531.24
91507851	1.92	4068.94	 
91508025	1.51	7113.92	7645.17
91508026	1.51	6396.89	6893.77
91508123	1.51	4745.9	5198.01
91508169	1.54	5370.68	6129.62
91508381	1.53	6027.37	 
91508387	1.53	4763.96	5252.09
91508439	1.57	3720.7	4075.14
91508526	1.51	7249.47	7564.75
91508766	1.54	3853.13	4140.87
91508836	1.57	3720.7	4075.14
91508862	1.54	3853.13	4140.87
91508873	1.6	16746.27	18458.15
91508944	1.59	5476.33	 
91508948	1.59	8911.65	9861.26
91540058	1.42	4884.28	5249.03
91540215	1.45	7512.68	7839.41
91540453	1.42	5341.92	 
91540457	1.42	4541.35	 
91543707	1.86	3973.51	4443.62
91544201	1.66	894.71	 
91544202	1.66	1237.28	 
91544204	1.66	748.45	837.51
91544302	1.66	1325.16	 
91546074	1.8	5404.18	5639.21
91546574	1.8	5404.18	5639.21
91570095	1.48	5010.2	5718.2
91570110	1.45	4578.44	 
91570129	1.41	3262.36	3668.33
91570187	1.43	1211.04	 
91570210	1.45	5400.61	5820.11
91570291	1.48	4758.01	4964.94
91570412	1.45	4745.07	 
91570425	1.41	2776.36	 
91570497	1.48	7419.65	 
91570523	1.41	2807.72	3033.43
91570524	1.41	2046.19	2198.99
91570525	1.41	4655.71	4923.33
91570528	1.41	3831.24	4174.76
91570553	1.42	4844.84	5221.16
91570597	1.48	4371.1	4710.63
91570614	1.45	4578.44	5014.6
91570621	1.41	2807.72	3033.43
91570692	1.48	5010.2	5718.2
91570823	1.41	3630	3824.64
91570829	1.41	4623.71	5116.4
91570928	1.41	2208.16	2418.52
91570986	1.43	5527.98	6094.39
91570993	1.48	4528.89	4991.85
91570997	1.48	4758.01	4964.94
91571005	1.36	2200.18	2295.87
91571014	1.35	5681	6190.37
91571116	1.35	4145.84	4384.15
91571155	1.32	8864.04	 
91571214	1.35	2976.35	3259.88
91571218	1.35	3830.66	4128.21
91571310	1.35	4336.11	4524.69
91571379	1.4	818.22	870.19
91571467	1.34	9913.42	 
91571560	1.34	5480.69	6255.17
91571601	1.36	2200.18	2295.87
91571605	1.36	2654.25	 
91571610	1.35	3086.4	3401.91
91571677	1.4	1591.67	 
91571706	1.36	1680.01	1851.75
91571707	1.36	2952.51	3048.27
91571807	1.36	1680.01	1851.75
91571812	1.35	3370.4	3641.35
91571817	1.35	3830.66	4128.21
91571876	1.4	1432.51	 
91572001	1.16	10438.5	 
91572040	1.19	4566.63	5001.66
91572063	1.14	4255.56	4440.63
91572076	1.2	4255.93	4690.99
91572117	1.15	4984.02	5688.32
91572122	1.11	2073.79	 
91572128	1.11	4861.8	5376.82
91572145	1.19	5533.53	 
91572183	1.13	1840.1	2005.09
91572190	1.18	3518.55	3874.28
91572195	1.18	2165.21	2371.47
91572204	1.16	10438.5	 
91572214	1.15	3977.48	4274.52
91572221	1.11	2001.26	 
91572222	1.11	2504.49	2678.82
91572229	1.11	2888.9	3121.14
91572288	1.13	1037.03	1143.04
91572292	1.18	2165.21	2371.47
91572297	1.18	4196.33	 
91572321	1.11	1414.5	1520.13
91572328	1.11	2599.93	2713
91572346	1.19	5587.29	6004.54
91572369	1.14	4396.31	4845.72
91572373	1.2	5373.96	 
91572381	1.13	616.61	663.71
91572385	1.13	1693.44	1829.58
91572387	1.13	1162.11	1265.74
91572389	1.13	1222.16	1261.8
91572396	1.18	3383.84	3862.02
91572408	1.16	5791.42	6343.13
91572442	1.19	5533.53	6099.19
91572462	1.14	8473.96	9233.75
91572471	1.2	5394.35	5813.36
91572841	1.19	6207.98	 
91572868	1.14	8473.96	 
91572900	1.16	6692.61	7212.46
91572918	1.15	3977.48	4274.52
91572964	1.14	5029.05	5404.61
91572980	1.13	1550.01	 
91572981	1.13	1506.97	 
91572986	1.13	1331.55	1489.99
91572989	1.13	1489.22	1600.43
91572999	1.18	2165.21	2371.47
91573016	1.85	2720.83	2839.16
91573031	1.87	735.22	777.38
91573099	1.88	10545.45	 
91573234	1.87	4204.82	 
91573248	1.89	2831.16	3042.58
91573253	1.82	3371.66	3633.55
91573254	1.82	3451.82	3601.95
91573258	1.82	3451.82	 
91573259	1.82	3709.55	4088.75
91573291	1.88	4634.3	4980.38
91573310	1.85	4359.56	4750.45
91573320	1.81	2719.95	 
91573323	1.81	3517.21	3821.08
91573329	1.81	5160.92	 
91573334	1.87	4204.82	4341.19
91573395	1.88	1612.32	1808.06
91573414	1.85	2849.75	3252.45
91573417	1.85	2856.92	3055.78
91573419	1.85	2111.49	2280.72
91573491	1.88	6067.68	6925.11
91573708	1.86	484.56	543.38
91573811	1.85	3921.69	4147.12
91573902	1.86	3937.53	 
91573926	1.81	4730.41	 
91573940	1.89	2991.98	3414.78
91573944	1.89	4386.97	4854.44
91573948	1.89	3388.3	3583.06
91573955	1.82	3371.66	3633.55
91573956	1.82	3638.48	3985.09
91573958	1.82	3638.48	3985.09
91574121	1.61	6717.41	7239.2
91574143	1.69	6863.7	 
91574231	1.67	5227.17	 
91574308	1.66	977.9	1078.1
91574337	1.67	9454.58	10214.13
91574399	1.68	5169.07	5701.82
91574504	1.66	854.27	930.45
91574594	1.68	5881.62	6441.92
91574632	1.67	5177.58	 
91574688	1.63	7229.77	7769.68
91574694	1.68	6867.65	7701.37
91574696	1.68	6221.9	6962.22
91574816	1.65	4465.31	4922.84
91574915	1.65	1292.43	 
91574916	1.65	3262.31	3408.73
91574923	1.61	7829.71	 
91575065	1.24	4523.77	5163.03
91575076	1.3	3834.22	4132.04
91575077	1.3	2976.88	3106.35
91575083	1.23	7228.84	 
91575085	1.23	4055.12	4357.95
91575094	1.28	4380.37	4823.23
91575099	1.28	3383.41	 
91575102	1.26	4011.84	 
91575127	1.21	2213.55	2441.69
91575151	1.22	4117.27	4437.08
91575162	1.24	5053.43	 
91575180	1.23	6078.78	6937.78
91575191	1.28	3357.82	3466.72
91575194	1.28	3357.82	 
91575216	1.25	4830.58	 
91575217	1.25	4654.61	5002.21
91575227	1.21	4417.69	 
91575235	1.27	3234.69	 
91575239	1.27	3234.69	3485.95
91575240	1.29	1372.88	 
91575246	1.29	1434.11	1541.21
91575249	1.29	2383.41	 
91575261	1.24	5053.43	 
91575280	1.23	6976.01	 
91575282	1.23	4738.06	 
91575296	1.28	4290.45	4623.72
91575302	1.26	3028.21	3202.28
91575315	1.25	3369.63	3714.89
91575317	1.25	4654.61	5002.21
91575358	1.22	4117.27	4437.08
91575361	1.24	5271.77	5214.86
91575370	1.3	3834.22	4132.04
91575387	1.23	1951.49	2183.69
91575391	1.28	3357.82	 
91575394	1.28	3383.41	 
91575420	1.21	6548.94	 
91575432	1.27	4409.05	 
91575477	1.3	4466.04	4891.48
91575522	1.21	7453.44	7742.63
91575602	1.26	3536.54	3690.34
91575609	1.26	3191.31	3221.39
